,StreetAddress,MlsId,MlsName,DateListed,Price,Description,Bedrooms,FullBathrooms,Appliances,RoomCount
157,828 BALLARD CANYON RD,16968013,CLAW,2016-01-07 00:00:00,2879000.00,"Meticulously maintained historic 5-acre horse ranch nestled in the wine country of the Santa Ynez Valley combines exquisite craftsmanship with an artful blend of rustic wood, warm stone, and bronze to",4,4,Range Hood,bedrooms
159,6692 WILDLIFE RD,16970871,CLAW,2016-01-20 00:00:00,45000.00,"New Construction Point Dume Rental with coveted Beach Rights available immediately. This amazing, designer perfect, super private/secure home comes fully furnished and is available immediately. Book m",5,6,Built-In BBQ,bedrooms
161,845 Highland Drive,316000525,ITECH,2016-02-04 00:00:00,4699999.00,"Unbelievable custom home in the hills of La Canada Flintridge! The home sits peacefully on a multi-level 40,000+ square foot lot and is extremely private with beautiful views of the mountains. Enterta",6,3,RangeOven,bedrooms
6,27086 MALIBU COVE COLONY DR,16106762,CLAW,2016-03-16 00:00:00,25000.00,Gorgeous oceanfront home with views to Point Dume and direct beach access. This beach house is ideal for entertaining with a kitchen open to a great room and ocean front deck. Possible fourth bedroom ,3,3,Built-Ins,bedrooms
7,36 BREEZE AVE,16109128,CLAW,2016-03-25 00:00:00,6500.00,"his designer, custom architectural remodel on the charming Breeze walk-street is the epitome of luxurious and efficient living. Walls of warm reclaimed wood line the architectural interior, while expa",2,1,Built-Ins,bedrooms
8,31652 BROAD BEACH RD,16114818,CLAW,2016-04-12 00:00:00,5800000.00,"Welcome to an oasis over looking the Pacific Ocean, where crashing waves and vivid sunsets create the quintessential Beach living environment. The controlled access exterior entry sets the tone for th",3,3,Built-Ins,bedrooms
10,11258 Laurie Drive,16115640,CLAW,2016-04-14 00:00:00,798000.00,"NEW PROJECT - SHOVEL READY. *NOTE* This project has Ready To Issue (RTI) PERMITS because the Design Review Board has approved this development, for the Mulholland Scenic Parkway Corridor, in addition ",0,,,
11,28011 PAQUET PL,16118008,CLAW,2016-04-25 00:00:00,6995000.00,"Beautiful estate with panoramic ocean views located in the gated community of Ramirez Canyon. This 5 bed, 5 bath features an open floor plan with natural light and stunning ocean & mountain views thro",5,4,Built-In BBQ,bedrooms
15,32036 PACIFIC COAST HWY,16130744,CLAW,2016-06-02 00:00:00,2450000.00,Build your Malibu dream home! Flat lot on almost one-half acre with pristine ocean views on the ocean side of PCH. Gated and private building site including deeded beach rights to one of the most beau,0,,,
16,888 Blackmore DR,16132084,CLAW,2016-06-05 00:00:00,2888000.00,This approx: 59 ACRE DEVELOPMENT SITE consists of SIX vacant lots. These lots sit on the back and the front side of a hill with a fire road running across the top part of the hill. The largest lot whi,0,,,
