StreetAddress,MlsId,MlsName,DateListed,Price,Description,Bedrooms,FullBathrooms,Appliances,RoomCount
0 Castro Peak Mountainway,14799273,CLAW,2014-10-03 00:00:00,535000.00,"Enjoy amazing ocean and island views from this 10+ acre parcel situated in a convenient and peaceful area of the Santa Monica mountains. Just minutes from beaches or the 101, Castro Peak is located of",0,,
0 SADDLE PEAK RD,14802845,CLAW,2014-10-17 00:00:00,200000.00,"Spectacular views from this 4+ acre property perched on the ridge between PCH and the Valley. Two APNs - 4438-034-037 and 031 being sold together. Plus, there is a lot next door for sale too! A, paved",0,,
21310 PACIFIC COAST HWY,15883387,CLAW,2015-03-03 00:00:00,23500.00,"A STUNNING Architectural beautifully designed with pillowed stone floors, hand rubbed Venetian plaster walls, 11 ft ceilings filled with natural light, theatrical mood lighting, 3 fireplaces, two huge",3,4,Built-Ins,bedrooms
23826 MALIBU RD,15888095,CLAW,2015-03-18 00:00:00,72500.00,"July & August not available. ""Captured in Paradise."" Arguably on the most desired sandy beach of Malibu, this home-away-from-home offers a sophisticated zen ambiance & elegance at the beach. This priv",5,4,Built-Ins,bedrooms
943 16th ST,15959941,CLAW,2015-11-18 00:00:00,230000.00,Due to an overwhelming response we are no longer accepting applicants for this unit. We have an extensive list of candidates & new inquiries will not be returned. This unit is being strictly sold as r,2,1,RangeOven,bedrooms
27061 SEA VISTA DR,15965091,CLAW,2015-12-11 00:00:00,2988000.00,Beautiful ocean and coastline views from this private lot situated off of PCH. Amazing views of the Point Dume cliffs with the opportunity to enjoy incredible sunsets without a long drive up a canyon.,0,,
27086 MALIBU COVE COLONY DR,16106762,CLAW,2016-03-16 00:00:00,25000.00,Gorgeous oceanfront home with views to Point Dume and direct beach access. This beach house is ideal for entertaining with a kitchen open to a great room and ocean front deck. Possible fourth bedroom ,3,3,Built-Ins,bedrooms
36 BREEZE AVE,16109128,CLAW,2016-03-25 00:00:00,6500.00,"his designer, custom architectural remodel on the charming Breeze walk-street is the epitome of luxurious and efficient living. Walls of warm reclaimed wood line the architectural interior, while expa",2,1,Built-Ins,bedrooms
31652 BROAD BEACH RD,16114818,CLAW,2016-04-12 00:00:00,5800000.00,"Welcome to an oasis over looking the Pacific Ocean, where crashing waves and vivid sunsets create the quintessential Beach living environment. The controlled access exterior entry sets the tone for th",3,3,Built-Ins,bedrooms
1912 KELTON AVE,16115130,CLAW,2016-04-13 00:00:00,5499.00,"Beautiful traditional Spanish in the heart of Westwood! Charming original details include high, vaulted ceilings in living room, cozy wood-burning fireplace, arched doorways, shelving alcoves, painted",3,2,,bedrooms
11258 Laurie Drive,16115640,CLAW,2016-04-14 00:00:00,798000.00,"NEW PROJECT - SHOVEL READY. *NOTE* This project has Ready To Issue (RTI) PERMITS because the Design Review Board has approved this development, for the Mulholland Scenic Parkway Corridor, in addition ",0,,
28011 PAQUET PL,16118008,CLAW,2016-04-25 00:00:00,6995000.00,"Beautiful estate with panoramic ocean views located in the gated community of Ramirez Canyon. This 5 bed, 5 bath features an open floor plan with natural light and stunning ocean & mountain views thro",5,4,Built-In BBQ,bedrooms
6237 BONSALL DR,16122648,CLAW,2016-05-06 00:00:00,6649000.00,A prime flat ~1.5 acre lot w/ a unique use of modern finishes & innovative design by Vitus Matare. This private gated single story marvel is adorned w/ mature trees ranging from avocados to evergreens,3,3,,bedrooms
0 BROAD BEACH RD,16125100,CLAW,2016-05-16 00:00:00,150000.00,"Unlike any other luxury opportunity, this beautiful Malibu compound offers a flat acre w/ over 120' of beach frontage; a lot depth extending 400'! A gated entrance, simple yet dignified, opens to a 2-",6,7,Built-In BBQ,bedrooms
31341 BIRDELLA RD,16129206,CLAW,2016-05-26 00:00:00,5975.00,"Nestled in the heart of the Santa Monica Mountains, this serene setting invites you to hike, climb, or horseback ride throughout the day, then relax to the sounds of nature narrating the clear stellar",4,2,,bedrooms
32036 PACIFIC COAST HWY,16130744,CLAW,2016-06-02 00:00:00,2450000.00,Build your Malibu dream home! Flat lot on almost one-half acre with pristine ocean views on the ocean side of PCH. Gated and private building site including deeded beach rights to one of the most beau,0,,
888 Blackmore DR,16132084,CLAW,2016-06-05 00:00:00,2888000.00,This approx: 59 ACRE DEVELOPMENT SITE consists of SIX vacant lots. These lots sit on the back and the front side of a hill with a fire road running across the top part of the hill. The largest lot whi,0,,
19252 PACIFIC COAST HWY,16132158,CLAW,2016-06-06 00:00:00,27500.00,Rare 98ft Ocean Front Classic Beauty reminiscent of glamorous days from a bygone era. Magnanimous rms paneled & floored w/ rain forest woods ooze casual elegance ala the Titanic. From the street you'l,3,5,Built-In BBQ,bedrooms
1970 N GRAMERCY PL,16133142,CLAW,2016-07-15 00:00:00,1699000.00,"Tranquility awaits at this 1935 Traditional hillside retreat in the coveted Los Feliz Oaks. Tucked away in a quiet cul-de-sac, this home boasts a dramatic living room with beamed ceilings, a decorativ",3,2,RangeOven,bedrooms
9229 Crescent Drive,16134056,CLAW,2016-06-11 00:00:00,1498000.00,"High up in the Hollywood Hills, are 6 contiguous flat lots with Double Sided views, totaling approx: 17,400 SF. All 6 lots have superb views of both the City of Los Angeles AND Trousdale Estates. APN ",0,,
2401 Laurel Canyon Boulevard,16134704,CLAW,2016-06-14 00:00:00,1298000.00,"COMPOUND OPPORTUNITY HIDDEN IN PLAIN SIGHT.10 contiguous VACANT LOTS ONLY, (there is NO house) currently on this property totaling approx: 2.5 acres which includes an APPROX: 18,000 SF flat pad. Once ",0,,
24808 Woolsey Canyon RD,16134756,CLAW,2016-06-14 00:00:00,1298000.00,"RESIDENTIAL DEVELOPMENT SITE: Consisting of 10 vacant lots on approx: 32 acres, with several BIG FLAT PADS and SWEEPING VALLEY VIEWS of San Fernando Valley, Warner Center and the Mountains. Reports ar",0,,
